aa	e~e
accidents'	xurGatanA{ba.}{@vib:kA}
accidents	xurGatanA^saMyoga{@s}
accidents'	xurGatanA^saMyoga{@s}{@vib:kA}
accident's	xurGatanA^saMyoga{@vib:kA}
accidents	xurGatanA{@s}
accident's	xurGatanA{@vib:kA}
accident	xurGatanA{0}
accident	xurGatanA^saMyoga{0}
acclaimed	vAha~vAhI/sammAna/vAha~vAha~karanA~{@ed/@en}
acclaiming	vAha~vAhI/sammAna/vAha~vAha~karanA~{@ing}
acclaims'	vAha~vAhI/sammAna/vAha~vAha~karanA{ba.}{@vib:kA}
acclaims	vAha~vAhI/sammAna/vAha~vAha~karanA~{@s}
acclaim's	vAha~vAhI/sammAna/vAha~vAha~karanA{@vib:kA}
acclaim	vAha~vAhI/sammAna/vAha~vAha~karanA{0}
acclamations'	vAha~vAhI/sammAna{ba.}{@vib:kA}
acclamations	vAha~vAhI/sammAna{@s}
acclamation's	vAha~vAhI/sammAna{@vib:kA}
acclamation	vAha~vAhI/sammAna{0}
acclimated	xaSAnukUliwa~honA[karanA]~{@ed/@en}
acclimates	xaSAnukUliwa~honA[karanA]~{@s}
acclimate	xaSAnukUliwa~honA[karanA]{0}
acclimating	xaSAnukUliwa~honA[karanA]~{@ing}
acclimatisation	paryanukUlana
acclimatised	xaSAnukUliwa~honA[karanA]~{@ed/@en}
acclimatises	xaSAnukUliwa~honA[karanA]~{@s}
acclimatise	xaSAnukUliwa~honA[karanA]{0}
acclimatising	xaSAnukUliwa~honA[karanA]~{@ing}
acclimatization	paryanukUlana
acclimatized	xaSAnukUliwa~honA[karanA]~{@ed/@en}
acclimatize	xaSAnukUliwa~honA[karanA]{0}
acclimatizing	xaSAnukUliwa~honA[karanA]~{@ing}
accolade	sammAna{0}
accolades'	sammAna{ba.}{@vib:kA}
accolades	sammAna{@s}
accolade's	sammAna{@vib:kA}
accommadation	samaFjana/sOkarya
accommodated	raha[raKa]~sakanA^samAviRta~karanA[karAnA]~{@ed/@en}
accommodate	raha[raKa]~sakanA^samAviRta~karanA[karAnA]{0}
accommodates	raha[raKa]~sakanA^samAviRta~karanA[karAnA]~{@s}
accommodatinger	sahayoga~xenA~{wara}
accommodatingest	sahayoga~xenA~{wama}
accommodatingly	sahayogI~rUpa~se
accommodating	raha[raKa]~sakanA^samAviRta~karanA[karAnA]~{@ing}[-]
accommodation	AvAsa^samAyojana{0}
accommodations'	AvAsa^samAyojana{ba.}{@vib:kA}
accommodations	AvAsa^samAyojana{@s}
accommodation's	AvAsa^samAyojana{@vib:kA}
accomodate	sWAna~xe
accomodation	AvAsa^samAyojana
accompanied	sAWa~honA[jAnA]^safgawa~karanA~{@ed/@en}
accompanied	sAWa~xenA^safgawa~karanA{safgIwa}~{@ed/@en}
accompanies	sAWa~honA[jAnA]^safgawa~karanA~{@s}
accompanies	sAWa~xenA^safgawa~karanA{safgIwa}~{@s}
accompaniment	sAWa^{safgIwa~sambanXI}safgawa{0}
accompaniments'	sAWa^{safgIwa~sambanXI}safgawa{ba.}{@vib:kA}
accompaniments	sAWa^{safgIwa~sambanXI}safgawa{@s}
accompaniment's	sAWa^{safgIwa~sambanXI}safgawa{@vib:kA}
accompanist	safgawakAra{safgIwa~meM}{0}
accompanists'	safgawakAra{safgIwa~meM}{ba.}{@vib:kA}
accompanists	safgawakAra{safgIwa~meM}{@s}
accompanist's	safgawakAra{safgIwa~meM}{@vib:kA}
accompanying	sAWa~honA[jAnA]^safgawa~karanA~{@ing}
accompanying	sAWa~xenA^safgawa~karanA{safgIwa}~{@ing}
accompanyist	safgawakAra{safgIwa~meM}{0}
accompanyists'	safgawakAra{safgIwa~meM}{ba.}{@vib:kA}
accompanyists	safgawakAra{safgIwa~meM}{@s}
accompanyist's	safgawakAra{safgIwa~meM}{@vib:kA}
accompany	sAWa~honA[jAnA]^safgawa~karanA{0}
accompany	sAWa~xenA^safgawa~karanA{safgIwa}{0}
accomplice	sahaaparAXI{0}
accomplices'	sahaaparAXI{ba.}{@vib:kA}
accomplices	sahaaparAXI{@s}
accomplice's	sahaaparAXI{@vib:kA}
accomplisheder	nipuNa~{wara}
accomplishedest	nipuNa~{wama}
accomplished	kAma~saPala~karanA[<pUrA~karanA/pahuzcanA]~{@ed/@en}
accomplished	pUrA~karanA~{@ed/@en}[-]
accomplishes	kAma~saPala~karanA[<pUrA~karanA/pahuzcanA]~{@s}
accomplishes	pUrA~karanA~{@s}
accomplishing	kAma~saPala~karanA[<pUrA~karanA/pahuzcanA]~{@ing}
accomplishing	pUrA~karanA~{@ing}
accomplish	kAma~saPala~karanA[<pUrA~karanA/pahuzcanA]{0}
accomplishment	prApwi^niRpawwi{0}
accomplishments'	prApwi^niRpawwi{ba.}{@vib:kA}
accomplishments	prApwi^niRpawwi{@s}
accomplishment's	prApwi^niRpawwi{@vib:kA}
accomplish	pUrA~karanA{0}
accordance	anurUpa{0}
accordance	mela[<anurUpa~honA]{0}
accordances'	anurUpa{ba.}{@vib:kA}
accordances	anurUpa{@s}
accordance's	anurUpa{@vib:kA}
accordances	mela[<anurUpa~honA]{@s}
accordances'	mela[<anurUpa~honA]{@s}{@vib:kA}
accordance's	mela[<anurUpa~honA]{@vib:kA}
accorded	samaJOwA/milanA[milAnA]^xenA~{@ed/@en}
accorded	samaJOwA^sahamawi^xenA~{@ed/@en}
accordinger	ke~anusAra~{wara}
accordingest	ke~anusAra~{wama}
accordingly	waxanusAra
accordingly	waxanusAra
according	samaJOwA/milanA[milAnA]^xenA~{@ing}[-]
according	samaJOwA^sahamawi^xenA~{@ing}
according_to	ke~anusAra{honA}
accordion	eka~vAxyayanwra{0}
accordions'	eka~vAxyayanwra{ba.}{@vib:kA}
accordions	eka~vAxyayanwra{@s}
accordion's	eka~vAxyayanwra{@vib:kA}
accord	samaJOwA/milanA[milAnA]^xenA{0}
accord	samaJOwA^sahamawi^xenA{0}
accords'	samaJOwA/milanA[milAnA]^xenA{ba.}{@vib:kA}
accords	samaJOwA/milanA[milAnA]^xenA~{@s}
accord's	samaJOwA/milanA[milAnA]^xenA{@vib:kA}
accords	samaJOwA^sahamawi^xenA~{@s}
accords'	samaJOwA^sahamawi^xenA{@s}{@vib:kA}
accord's	samaJOwA^sahamawi^xenA{@vib:kA}
accosted	samboXana~karanA~{@ed/@en}
accosting	samboXana~karanA~{@ing}
accost	samboXana~karanA{0}
accosts'	samboXana~karanA{ba.}{@vib:kA}
accosts	samboXana~karanA~{@s}
accost's	samboXana~karanA{@vib:kA}
accountabilities'	javAbaxehI{ba.}{@vib:kA}
accountabilities	javAbaxehI{@s}
accountability	javAbaxehI{0}
accountability's	javAbaxehI{@vib:kA}
accountabler	uwwaraxAyI~{wara}
accountablest	uwwaraxAyI~{wama}
accountable	uwwaraxAyI[-]
accountably	uwwaraxAyI~rUpa~se
accountal	leKA-joKA
accountancies'	leKAkarma{ba.}{@vib:kA}
accountancies	leKAkarma{@s}
accountancy	leKAkarma{0}
accountancy's	leKAkarma{@vib:kA}
accountant	leKAkAra{0}
accountants'	leKAkAra{ba.}{@vib:kA}
accountants	leKAkAra{@s}
accountant's	leKAkAra{@vib:kA}
accounted	KAwA^vivaraNa~{@ed/@en}
accounted	vivaraNa[>KAwA]~{@ed/@en}
accounting	KAwA^vivaraNa~{@ing}
accounting	vivaraNa[>KAwA]~{@ing}
account	KAwA^vivaraNa{0}
accounts'	KAwA^vivaraNa{ba.}{@vib:kA}
accounts	KAwA^vivaraNa~{@s}
account's	KAwA^vivaraNa{@vib:kA}
accounts	vivaraNa[>KAwA]~{@s}
accounts'	vivaraNa[>KAwA]{@s}{@vib:kA}
account's	vivaraNa[>KAwA]{@vib:kA}
account	vivaraNa[>KAwA]{0}
accouterment	sAja-sajjA{0}
accouterments'	sAja-sajjA{ba.}{@vib:kA}
accouterments	sAja-sajjA{@s}
accouterment's	sAja-sajjA{@vib:kA}
accoutrement	sAja-sajjA{0}
accoutrements'	sAja-sajjA{ba.}{@vib:kA}
accoutrements	sAja-sajjA{@s}
accoutrement's	sAja-sajjA{@vib:kA}
accreditation	prawyAyana/mAnyawA{0}
accreditations'	prawyAyana/mAnyawA{ba.}{@vib:kA}
accreditations	prawyAyana/mAnyawA{@s}
accreditation's	prawyAyana/mAnyawA{@vib:kA}
accredited	prawyAyiwa~karanA^Sreya~xenA~{@ed/@en}
accreditee	uXAra-pAwra/prawyAyiwI
accrediting	prawyAyiwa~karanA^Sreya~xenA~{@ing}
accredit	prawyAyiwa~karanA^Sreya~xenA{0}
accredits	prawyAyiwa~karanA^Sreya~xenA~{@s}
accretion	aBivqxXi{0}
accretions'	aBivqxXi{ba.}{@vib:kA}
accretions	aBivqxXi{@s}
accretion's	aBivqxXi{@vib:kA}
accrual	proxBavana
accrue	baDanA^ikaTTA~honA{0}
accrued	baDanA^ikaTTA~honA~{@ed/@en}
accrues	baDanA^ikaTTA~honA~{@s}
accruing	baDanA^ikaTTA~honA~{@ing}
accumulated	saFcaya~karanA~{@ed/@en}
accumulate	saFcaya~karanA{0}
accumulates	saFcaya~karanA~{@s}
accumulating	saFcaya~karanA~{@ing}
accumulation	saFcayana{0}
accumulations'	saFcayana{ba.}{@vib:kA}
accumulations	saFcayana{@s}
accumulation's	saFcayana{@vib:kA}
accumulatively	saFcayI~rUpa~se
accumulativer	saFcayI~{wara}
accumulative	saFcayI[-]
accumulativest	saFcayI~{wama}
accumulator	saFcAyaka
accuracies	acUka^pariSuxXawA{@s}
accuracies'	acUka^pariSuxXawA{@s}{@vib:kA}
accuracies'	SuxXawA^yaWArWawA{ba.}{@vib:kA}
accuracies	SuxXawA^yaWArWawA{@s}
accuracy	acUka^pariSuxXawA{0}
accuracy's	acUka^pariSuxXawA{@vib:kA}
accuracy's	SuxXawA^yaWArWawA{@vib:kA}
accuracy	SuxXawA^yaWArWawA{0}
accurately	pariSuxXawA~se
accurately	sahI~Dafga~se
accurate	pariSuxXa[-]
accurater	sahI~{wara}
accurate	sahI[-]
accuratest	sahI~{wama}
accurseder	GqNiwa~{wara}
accursedest	GqNiwa~{wama}
accursed	GqNiwa[-]
accursedly	GqNiwa~rUpa~se
accurster	GqNiwa~{wara}
accurstest	GqNiwa~{wama}
accurst	GqNiwa[-]
accusable	aBiyojya
accusation	aBiyoga{0}
accusations'	aBiyoga{ba.}{@vib:kA}
accusations	aBiyoga{@s}
accusation's	aBiyoga{@vib:kA}
accusative	karmakAraka[-]
accusativer	karmakAraka~{wara}
accusatives'	karmakAraka{ba.}{@vib:kA}
accusatives	karmakAraka{@s}
accusative's	karmakAraka{@vib:kA}
accusativest	karmakAraka~{wama}
accusatorily	aBiyogAwmaka~rUpa~se
accusatory	aBiyogAwmaka
accused	aBiyukwa{@ed/@en}
accuseds'	aBiyukwa{ba.}{@vib:kA}
accuseds	aBiyukwa{@s}
accuseds	aBiyukwa{@s}
accuseds'	aBiyukwa{@s}{@vib:kA}
accused's	aBiyukwa{@vib:kA}
accused's	aBiyukwa{@vib:kA}
accused	xoRa~lagAnA~{@ed/@en}
accusers'	xoRa~lagAne~vAlA{ba.}{@vib:kA}
accusers	xoRa~lagAne~vAlA{@s}
accuser's	xoRa~lagAne~vAlA{@vib:kA}
accuser	xoRa~lagAne~vAlA{0}
accuses	xoRa~lagAnA~{@s}
accuses	xoRa~lagAnA~{@s}
accuse	xoRa~lagAnA{0}
accuse	xoRa~lagAnA{0}
accusingly	Aropa~lagAwe~hue
accusing	xoRa~lagAnA~{@ing}
accusing	xoRa~lagAnA~{@ing}
accustom	aByaswa~honA{0}
accustom	aByaswa~honA{0}
accustomed	aByaswa~honA~{@ed/@en}[-]
accustomed	aByaswa~honA~{@ed/@en}[-]
accustomeder	aByaswa~{wara}
accustomedest	aByaswa~{wama}
accustoming	aByaswa~honA~{@ing}
accustoming	aByaswa~honA~{@ing}
accustoms	aByaswa~honA~{@s}
accustoms	aByaswa~honA~{@s}
ace	bahuwa~acCA/ikkA{wASa~kA}^kuSala{0}
ace	ikkA{0}
acerbicer	wIKA{svaBAva}~{wara}
acerbicest	wIKA{svaBAva}~{wama}
acerbic	wIKA{svaBAva}[-]
acerbities'	kaTorapana{ba.}{@vib:kA}
acerbities	kaTorapana{@s}
acerbity	kaTorapana{0}
acerbity's	kaTorapana{@vib:kA}
aces'	bahuwa~acCA/ikkA{wASa~kA}^kuSala{ba.}{@vib:kA}
aces	bahuwa~acCA/ikkA{wASa~kA}^kuSala{@s}
ace's	bahuwa~acCA/ikkA{wASa~kA}^kuSala{@vib:kA}
aces	ikkA{@s}
aces'	ikkA{@s}{@vib:kA}
ace's	ikkA{@vib:kA}
acetate	esIteta{0}
acetates'	esIteta{ba.}{@vib:kA}
acetates	esIteta{@s}
acetate's	esIteta{@vib:kA}
acetic-acid	sirakA~amla
acetically	KatAsa~Bare~rUpa~se
aceticer	KatAsa~BarA~{wara}
aceticest	KatAsa~BarA~{wama}
acetic	KatAsa~BarA[-]
acetylene	esItilIna{gEsa}{0}
acetylenes'	esItilIna{gEsa}{ba.}{@vib:kA}
acetylenes	esItilIna{gEsa}{@s}
acetylene's	esItilIna{gEsa}{@vib:kA}
acharayalu	AcAryalu
acharya	AcArya
acharya	AcArya
ached	pIdA~{@ed/@en}
ached	pIdA/xarxa~karanA~{@ed/@en}
ache	pIdA{0}
ache	pIdA/xarxa~karanA{0}
aches	pIdA~{@s}
aches'	pIdA{@s}{@vib:kA}
ache's	pIdA{@vib:kA}
aches'	pIdA/xarxa~karanA{ba.}{@vib:kA}
aches	pIdA/xarxa~karanA~{@s}
ache's	pIdA/xarxa~karanA{@vib:kA}
achievable	prApwavya[-]
achievabler	prApwavya~{wara}
achievablest	prApwavya~{wama}
achievably	prApwavya~rUpa~se
achieved	pUrA~karanA~{@ed/@en}
achieved	saPala~honA[>pUrA~karanA]~{@ed/@en}
achievement	saPalawA[>upalabXi]{0}
achievements	saPalawA[>upalabXi]{@s}
achievements'	saPalawA[>upalabXi]{@s}{@vib:kA}
achievement's	saPalawA[>upalabXi]{@vib:kA}
achievements'	upalabXi{ba.}{@vib:kA}
achievements	upalabXi{@s}
achievement's	upalabXi{@vib:kA}
achievement	upalabXi{0}
achieve	pUrA~karanA{0}
achieve	saPala~honA[>pUrA~karanA]{0}
achieves	pUrA~karanA~{@s}
achieves	saPala~honA[>pUrA~karanA]~{@s}
achieving	pUrA~karanA~{@ing}
achieving	saPala~honA[>pUrA~karanA]~{@ing}
aching	pIdA~{@ing}
aching	pIdA/xarxa~karanA~{@ing}
achivist	EwihAsika~aBileKa~safgrahakarwA
acid	amla[-]
acider	wejAba^amla~{wara}
acidest	wejAba^amla~{wama}
acidic	amlIya/KattA[-]
acidicer	amlIya/KattA~{wara}
acidicest	amlIya/KattA~{wama}
acidified	amla~karanA~{@ed/@en}
acidifies	amla~karanA~{@s}
acidify	amla~karanA{0}
acidifying	amla~karanA~{@ing}
acidities'	amlawA{ba.}{@vib:kA}
acidities	amlawA{@s}
acidity	amlawA{0}
acidity's	amlawA{@vib:kA}
acids	amla{@s}
acids'	amla{@s}{@vib:kA}
acid's	amla{@vib:kA}
acids'	wejAba^amla{ba.}{@vib:kA}
acids	wejAba^amla{@s}
acid's	wejAba^amla{@vib:kA}
acidulent	amlavaw/svaBAva~meM~wIKA[-]
acidulenter	amlavaw/svaBAva~meM~wIKA~{wara}
acidulentest	amlavaw/svaBAva~meM~wIKA~{wama}
acidulous	amlavaw/svaBAva~meM~wIKA[-]
acidulouser	amlavaw/svaBAva~meM~wIKA~{wara}
acidulousest	amlavaw/svaBAva~meM~wIKA~{wama}
acid	wejAba^amla[-]
acknowledged	svIkAra~karanA~{@ed/@en}
acknowledgement	aBisvIkqwi/pAvawI
acknowledgements'	svIkqwi{ba.}{@vib:kA}
acknowledgements	svIkqwi{@s}
acknowledgement's	svIkqwi{@vib:kA}
acknowledgement	svIkqwi{0}
acknowledge	pAvawI~xenA
acknowledges	svIkAra~karanA~{@s}
acknowledge	svIkAra~karanA{0}
acknowledging	svIkAra~karanA~{@ing}
acknowledgments'	svIkqwi{ba.}{@vib:kA}
acknowledgments	svIkqwi{@s}
acknowledgment's	svIkqwi{@vib:kA}
acknowledgment	svIkqwi{0}
acme	parAkARTA{0}
acm	e~sI~ema
acmes'	parAkARTA{ba.}{@vib:kA}
acmes	parAkARTA{@s}
acme's	parAkARTA{@vib:kA}
acne	muzhAsA{0}
acnes'	muzhAsA{ba.}{@vib:kA}
acnes	muzhAsA{@s}
acne's	muzhAsA{@vib:kA}
acolyte	pAxarI~kA~sahAyaka{0}
acolytes'	pAxarI~kA~sahAyaka{ba.}{@vib:kA}
acolytes	pAxarI~kA~sahAyaka{@s}
acolyte's	pAxarI~kA~sahAyaka{@vib:kA}
aconite	baCanAga{0}
aconites'	baCanAga{ba.}{@vib:kA}
aconites	baCanAga{@s}
aconite's	baCanAga{@vib:kA}
aconitum	baCanAga{0}
aconitums'	baCanAga{ba.}{@vib:kA}
aconitums	baCanAga{@s}
aconitum's	baCanAga{@vib:kA}
acorn	SAhabalUwa~kA~Pala~yA~bIja{0}
acorns'	SAhabalUwa~kA~Pala~yA~bIja{ba.}{@vib:kA}
acorns	SAhabalUwa~kA~Pala~yA~bIja{@s}
acorn's	SAhabalUwa~kA~Pala~yA~bIja{@vib:kA}
acousticaler	Xvani~sambanXI~{wara}
acousticalest	Xvani~sambanXI~{wama}
acoustically	Xvani~sambanXI~rUpa~se
acoustical	Xvani~sambanXI[-]
acousticer	Xvani~sambanXI~{wara}
acousticest	Xvani~sambanXI~{wama}
acoustics	Xvani~ke~lie~uwwama{eka.ba.}
acoustics'	Xvani~ke~lie~uwwama{@vib:kA}{ba.}+kA
acoustic	Xvani~sambanXI[-]
acquaintance	pariciwa^paricaya{0}
acquaintances'	pariciwa^paricaya{ba.}{@vib:kA}
acquaintances	pariciwa^paricaya{@s}
acquaintance's	pariciwa^paricaya{@vib:kA}
acquaint	avagawa~karanA[karAnA]{0}
acquainted	avagawa~karanA[karAnA]~{@ed/@en}[-]
acquainteder	pariciwa~{wara}
acquaintedest	pariciwa~{wama}
acquainting	avagawa~karanA[karAnA]~{@ing}
acquaints	avagawa~karanA[karAnA]~{@s}
acquiesce	binA~viroXa~ke~svIkAra~karanA{0}
acquiesced	binA~viroXa~ke~svIkAra~karanA~{@ed/@en}
acquiescence	prasannawA~pUrvaka~afgIkAra{0}
acquiescences'	prasannawA~pUrvaka~afgIkAra{ba.}{@vib:kA}
acquiescences	prasannawA~pUrvaka~afgIkAra{@s}
acquiescence's	prasannawA~pUrvaka~afgIkAra{@vib:kA}
acquiescently	sahamawa~howe~hue
acquiescent	sahamawa~honA[-]
acquiesces	binA~viroXa~ke~svIkAra~karanA~{@s}
acquiescing	binA~viroXa~ke~svIkAra~karanA~{@ing}
acquire	arjana~karanA{0}
acquire	arjana~karanA{0}
acquired	arjana~karanA~{@ed}~{@en}
acquired	arjana~karanA~{@ed}~{@en}
acquires	arjana~karanA~{@s}
acquires	arjana~karanA~{@s}
acquiring	arjana~karanA~{@ing}
acquiring	arjana~karanA~{@ing}
acquisition	arjana{0}
acquisitions'	arjana{ba.}{@vib:kA}
acquisitions	arjana{@s}
acquisition's	arjana{@vib:kA}
acquisitive	arjanaSIla[-]
acquisitively	arjanaSIla~rUpa~se
acquisitiver	arjanaSIla~{wara}
acquisitivest	arjanaSIla~{wama}
acquistition	arjana
acquits	xoRa~mukwa~karanA~{@s}
acquittals'	xoRa~mukwi{ba.}{@vib:kA}
acquittals	xoRa~mukwi{@s}
acquittal's	xoRa~mukwi{@vib:kA}
acquittal	xoRa~mukwi{0}
acquittance	BugawAna/vimukwi/bebAkI
acquittane	BarapAI/BugawAna
acquitted	xoRa~mukwa~karanA~{@ed/@en}
acquitting	xoRa~mukwa~karanA~{@ing}
acquit	xoRa~mukwa~karanA{0}
acreage	kaI~varga~BUmi{0}
acreages'	kaI~varga~BUmi{ba.}{@vib:kA}
acreages	kaI~varga~BUmi{@s}
acreage's	kaI~varga~BUmi{@vib:kA}
acre	ekada{0}
acre	ekada{4840~varga~gaja~BUmi}{0}
acres'	ekada{4840~varga~gaja~BUmi}{ba.}{@vib:kA}
acres	ekada{4840~varga~gaja~BUmi}{@s}
acre's	ekada{4840~varga~gaja~BUmi}{@vib:kA}
acres	ekada{@s}
acres'	ekada{@s}{@vib:kA}
acre's	ekada{@vib:kA}
acrider	ugra~svaBAva^baxabU~{wara}
acridest	ugra~svaBAva^baxabU~{wama}
acrid	ugra~svaBAva^baxabU[-]
acrimonies'	katuwA{svaBAva~me}/kaduvApana{ba.}{@vib:kA}
acrimonies	katuwA{svaBAva~me}/kaduvApana{@s}
acrimonious	katu[-]
acrimoniously	katu~rUpa~se
acrimony	katuwA{svaBAva~me}/kaduvApana{0}
acrimony's	katuwA{svaBAva~me}/kaduvApana{@vib:kA}
acrobatically	natIya~rUpa~se
acrobaticer	natIya~{wara}
acrobaticest	natIya~{wama}
acrobatic	natIya[-]
acrobatics	kalAbAjI{eka.ba.}
acrobatics'	kalAbAjI{@vib:kA}{ba.}+kA
acrobat	nata{0}
acrobats'	nata{ba.}{@vib:kA}
acrobats	nata{@s}
acrobat's	nata{@vib:kA}
acronym	safkRipwi{Sabxo~ke~praWama~Sabxa~se~banA~Sabxa}{0}
acronyms'	safkRipwi{Sabxo~ke~praWama~Sabxa~se~banA~Sabxa}{ba.}{@vib:kA}
acronyms	safkRipwi{Sabxo~ke~praWama~Sabxa~se~banA~Sabxa}{@s}
acronym's	safkRipwi{Sabxo~ke~praWama~Sabxa~se~banA~Sabxa}{@vib:kA}
across	@across{->ke~pAra[meM~saba~ora]}
across	ArapAra^usa~pAra
acrostic	akRarabaxXa~kaviwA{0}
acrostics'	akRarabaxXa~kaviwA{ba.}{@vib:kA}
acrostics	akRarabaxXa~kaviwA{@s}
acrostic's	akRarabaxXa~kaviwA{@vib:kA}
acrylic	ekrilika{wejAba~se~banA~huA}/ekrilika{wejAba~se~banA~huA~eka~prakAra~kA~rasAyanika~paxArWa}[-]
acrylicer	ekrilika{wejAba~se~banA~huA}/ekrilika{wejAba~se~banA~huA~eka~prakAra~kA~rasAyanika~paxArWa}~{wara}
acrylicest	ekrilika{wejAba~se~banA~huA}/ekrilika{wejAba~se~banA~huA~eka~prakAra~kA~rasAyanika~paxArWa}~{wama}
acrylics'	ekrilika{wejAba~se~banA~huA}/ekrilika{wejAba~se~banA~huA~eka~prakAra~kA~rasAyanika~paxArWa}{ba.}{@vib:kA}
acrylics	ekrilika{wejAba~se~banA~huA}/ekrilika{wejAba~se~banA~huA~eka~prakAra~kA~rasAyanika~paxArWa}{@s}
acrylic's	ekrilika{wejAba~se~banA~huA}/ekrilika{wejAba~se~banA~huA~eka~prakAra~kA~rasAyanika~paxArWa}{@vib:kA}
acted	kArya[>aBinaya/viXi]~{@ed/@en}
acted	kArya^nAtaka~kA~afga~{@ed/@en}
actinger	kAryakArI/aBinaya~{wara}
actingest	kAryakArI/aBinaya~{wama}
acting	kArya[>aBinaya/viXi]~{@ing}
acting	kArya^nAtaka~kA~afga~{@ing}[-]
actings'	kAryakArI/aBinaya{ba.}{@vib:kA}
actings	kAryakArI/aBinaya{@s}
acting's	kAryakArI/aBinaya{@vib:kA}
actionable	kAnUnI~kAryavAhI~karane~yogya[-]
actionabler	kAnUnI~kAryavAhI~karane~yogya~{wara}
actionablest	kAnUnI~kAryavAhI~karane~yogya~{wama}
action	kAnUnI~kAryavAhI~karane~yogya/kriyA{0}
action	kAryavAhI{0}
actions'	kAnUnI~kAryavAhI~karane~yogya/kriyA{ba.}{@vib:kA}
actions	kAnUnI~kAryavAhI~karane~yogya/kriyA{@s}
action's	kAnUnI~kAryavAhI~karane~yogya/kriyA{@vib:kA}
actions	kAryavAhI{@s}
actions'	kAryavAhI{@s}{@vib:kA}
action's	kAryavAhI{@vib:kA}
activated	sakriya~karanA~{@ed/@en}
activate	sakriya~karanA{0}
activates	sakriya~karanA~{@s}
activating	sakriya~karanA~{@ing}
activations'	uwpreraNa{ba.}{@vib:kA}
activations	uwpreraNa{@s}
activation's	uwpreraNa{@vib:kA}
activation	uwpreraNa{0}
activator	uwpreraka
actively	sakriya~rUpa~se
activenesses'	sakriyawA{ba.}{@vib:kA}
activenesses	sakriyawA{@s}
activeness	sakriyawA{0}
activeness's	sakriyawA{@vib:kA}
activer	sakriya~{wara}
active	sakriya[-]
active	sakriya-[-]
actives'	sakriya{ba.}{@vib:kA}
actives	sakriya{@s}
actives	sakriya-{@s}
actives'	sakriya-{@s}{@vib:kA}
active's	sakriya{@vib:kA}
active's	sakriya-{@vib:kA}
activest	sakriya~{wama}
activism	sawakriyawAvAxa{0}
activisms'	sakriyawAvAxa{ba.}{@vib:kA}
activisms	sakriyawAvAxa{@s}
activism's	sakriyawAvAxa{@vib:kA}
activist	sakriya{0}
activists	sakriya{@s}
activists'	sakriya{@s}{@vib:kA}
activist's	sakriya{@vib:kA}
activities'	kriyA-kalApa{ba.}{@vib:kA}
activities	kriyA-kalApa{@s}
activities	kriyA^kalApa{@s}
activities'	kriyA^kalApa{@s}{@vib:kA}
activity	kriyA-kalApa{0}
activity	kriyA^kalApa{0}
activity's	kriyA-kalApa{@vib:kA}
activity's	kriyA^kalApa{@vib:kA}
act	kArya[>aBinaya/aXiniyama]{0}
act	kArya^nAtaka~kA~afga{0}
actor	aBinewA{0}
actor	aBinewA{0}
actors'	aBinewA{ba.}{@vib:kA}
actors	aBinewA{@s}
actors	aBinewA{@s}
actors'	aBinewA{@s}{@vib:kA}
actor's	aBinewA{@vib:kA}
actor's	aBinewA{@vib:kA}
actress	aBinewA{0}
actress	aBinewrI{0}
actresses'	aBinewA{ba.}{@vib:kA}
actresses	aBinewA{@s}
actresses	aBinewA{@s}
actresses'	aBinewA{@s}{@vib:kA}
actress's	aBinewA{@vib:kA}
actress's	aBinewA{@vib:kA}
acts	kArya[>aBinaya/viXi]~{@s}
acts'	kArya[>aBinaya/viXi]{@s}{@vib:kA}
act's	kArya[>aBinaya/viXi]{@vib:kA}
acts'	kArya^nAtaka~kA~afga{ba.}{@vib:kA}
acts	kArya^nAtaka~kA~afga~{@s}
act's	kArya^nAtaka~kA~afga{@vib:kA}
actualer	vAswavika~{wara}
actualest	vAswavika~{wama}
actualist	vAswavikawAvAxI
actualities'	vAswavikawA{ba.}{@vib:kA}
actualities	vAswavikawA{@s}
actuality's	vAswavikawA{@vib:kA}
actuality	vAswavikawA{0}
actually	vAswava~meM
actually	vAswava~meM/vaswuwa
actuals	vAswavika~Azkade
actual	vAswavika[-]
actual	vAswavika[-]
actuarial	bImAfkikI[-]
actuarialer	bImAfkikI~{wara}
actuarialest	bImAfkikI~{wama}
actuaries'	bImAfkika{ba.}{@vib:kA}
actuaries	bImAfkika{@s}
actuary	bImAfkika{0}
actuary's	bImAfkika{@vib:kA}
actuate	paricAliwa~karanA{0}
actuates	paricAliwa~karanA~{@s}
actuator	pravarwaka
acuities'	wIkRNawA{ba.}{@vib:kA}
acuities	wIkRNawA{@s}
acuity's	wIkRNawA{@vib:kA}
acuity	wIkRNawA{0}
acumen	kuSAgra~buxXi{0}
acumens'	kuSAgra~buxXi{ba.}{@vib:kA}
acumens	kuSAgra~buxXi{@s}
acumen's	kuSAgra~buxXi{@vib:kA}
acupuncture	ekyUpaFcara{cikiwsA}{0}
acupunctures'	ekyUpaFcara{cikiwsA}{ba.}{@vib:kA}
acupunctures	ekyUpaFcara{cikiwsA}{@s}
acupuncture's	ekyUpaFcara{cikiwsA}{@vib:kA}
acupuncturist	EkyUpafkcara~viSeRajFa
acutely	wIvrawA~se
acutenesses'	wIkRNawA{ba.}{@vib:kA}
acutenesses	wIkRNawA{@s}
acuteness's	wIkRNawA{@vib:kA}
